tipo;prov;mun;clase;refcat;uc;provine;provincia;mundgc;munine;municipio;entidad;codvia;tipovia;nombrevia;ndp;letra;ndp2;letra2;km;direccionne;anyoconstr;exactituda;superficie;longitudfa
13;46;019;UR;5212416YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0015;;0000;;00000;;2003;E;0000000;01472
13;46;019;UR;5212416YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0015;;0000;;00000;;2003;E;0000000;01472
13;46;019;UR;5219911YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00079;CL;JOANOT MARTOREL;0015;;0000;;00000;;2005;E;0000000;00000
13;46;019;UR;5219911YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00079;CL;JOANOT MARTOREL;0015;;0000;;00000;;2005;E;0000000;00000
13;46;019;UR;5318531YJ1451G;0001;46;VALENCIA;019;019;L'ALCUDIA;;00031;CL;JUAN BAUTISTA OSCA;0011;B;0000;;00000;;2004;E;0000000;00000
13;46;019;UR;5318531YJ1451G;0002;46;VALENCIA;019;019;L'ALCUDIA;;00031;CL;JUAN BAUTISTA OSCA;0011;B;0000;;00000;;2004;E;0000000;00000
13;46;019;UR;5219905YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00079;CL;JOANOT MARTOREL;0027;;0000;;00000;;2003;E;0000000;00630
13;46;019;UR;5219905YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00079;CL;JOANOT MARTOREL;0027;;0000;;00000;;2003;E;0000000;00630
13;46;019;UR;5715813YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00091;CL;JUAN DE TORRELLA;0020;;0000;;00000;;2007;E;0000033;00810
13;46;019;UR;5715813YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00091;CL;JUAN DE TORRELLA;0020;;0000;;00000;;2007;E;0000012;00810
13;46;019;UR;5218903YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00165;CL;PICASSO;0010;;0000;;00000;;2007;E;0000144;00665
13;46;019;UR;5218903YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00165;CL;PICASSO;0010;;0000;;00000;;2007;E;0000023;00665
13;46;019;UR;5615813YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00019;CL;DON JUAN DE AUSTRIA;0027;;0000;;00000;;1967;E;0000000;01346
13;46;019;UR;5615813YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00019;CL;DON JUAN DE AUSTRIA;0027;;0000;;00000;;1967;E;0000000;01346
13;46;019;UR;5615813YJ1451N;0003;46;VALENCIA;019;019;L'ALCUDIA;;00019;CL;DON JUAN DE AUSTRIA;0027;;0000;;00000;;2004;E;0000000;01346
13;46;019;UR;5615813YJ1451N;0004;46;VALENCIA;019;019;L'ALCUDIA;;00019;CL;DON JUAN DE AUSTRIA;0027;;0000;;00000;;2004;E;0000000;01346
13;46;019;UR;5318534YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00031;CL;JUAN BAUTISTA OSCA;0005;;0000;;00000;;1987;E;0000000;00865
13;46;019;UR;5318534YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00031;CL;JUAN BAUTISTA OSCA;0005;;0000;;00000;;1987;E;0000000;00865
13;46;019;UR;5318529YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00031;CL;JUAN BAUTISTA OSCA;0015;;0000;;00000;;1985;E;0000000;00445
13;46;019;UR;5318529YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00031;CL;JUAN BAUTISTA OSCA;0015;;0000;;00000;;1985;E;0000000;00000
13;46;019;UR;5318126YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00043;CL;PINTOR SOROLLA;0014;;0000;;00000;;2007;E;0000134;00860
13;46;019;UR;5318126YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00043;CL;PINTOR SOROLLA;0014;;0000;;00000;;2007;E;0000038;00860
13;46;019;UR;5318124YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00043;CL;PINTOR SOROLLA;0010;;0000;;00000;;2006;E;0000117;00650
13;46;019;UR;5318124YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00043;CL;PINTOR SOROLLA;0010;;0000;;00000;;2006;E;0000020;00650
13;46;019;UR;5213705YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00017;CL;DELICIES;0002;;0000;;00000;;2005;E;0000065;00565
13;46;019;UR;5213705YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00017;CL;DELICIES;0002;;0000;;00000;;2005;E;0000033;00565
13;46;019;UR;5212419YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0009;;0000;;00000;;2004;E;0000000;02009
13;46;019;UR;5212419YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0009;;0000;;00000;;2004;E;0000000;02009
13;46;019;UR;5212419YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0009;;0000;;00000;;2004;E;0000000;02009
13;46;019;UR;5212419YJ1451S;0004;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0009;;0000;;00000;;2004;E;0000000;02009
13;46;019;UR;5212419YJ1451S;0005;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0009;;0000;;00000;;2004;E;0000000;02009
13;46;019;UR;5212418YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00069;CL;VILAR MIRALLES;0011;;0000;;00000;;1999;E;0000000;00000
13;46;019;UR;5117531YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00032;CL;LOPE DE VEGA;0028;;0000;;00000;;1930;E;0000000;00620
13;46;019;UR;5117531YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00032;CL;LOPE DE VEGA;0028;;0000;;00000;;1930;E;0000000;00620
13;46;019;UR;5117531YJ1451N;0003;46;VALENCIA;019;019;L'ALCUDIA;;00032;CL;LOPE DE VEGA;0028;;0000;;00000;;2001;E;0000000;00620
13;46;019;UR;5116505YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00032;CL;LOPE DE VEGA;0003;;0000;;00000;;1982;E;0000000;00648
13;46;019;UR;5116505YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00032;CL;LOPE DE VEGA;0003;;0000;;00000;;1992;E;0000138;00648
13;46;019;UR;5514911YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00145;CL;BLASCO IBAÑEZ;0015;;0000;;00000;;2005;E;0000000;00866
13;46;019;UR;5514911YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00145;CL;BLASCO IBAÑEZ;0015;;0000;;00000;;2005;E;0000106;00866
13;46;019;UR;5111601YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0017;;0000;;00000;;2006;E;0000000;00000
13;46;019;UR;5111601YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0017;;0000;;00000;;2006;E;0000000;00000
13;46;019;UR;5111601YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0017;;0000;;00000;;2006;E;0000345;00000
13;46;019;UR;5111518YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00030;CL;NUMERO   51;0005;;0000;;00000;;2006;E;0000016;00655
13;46;019;UR;5111518YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00030;CL;NUMERO   51;0005;;0000;;00000;;2006;E;0000111;00655
13;46;019;UR;5111517YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00030;CL;NUMERO   51;0007;;0000;;00000;;2007;E;0000000;01300
13;46;019;UR;5111517YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00030;CL;NUMERO   51;0007;;0000;;00000;;2007;E;0000043;01300
13;46;019;UR;5111517YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00030;CL;NUMERO   51;0007;;0000;;00000;;2007;E;0000169;01300
13;46;019;UR;5111517YJ1451S;0004;46;VALENCIA;019;019;L'ALCUDIA;;00030;CL;NUMERO   51;0007;;0000;;00000;;2007;E;0000000;01300
13;46;019;UR;5111206YJ1451A;0001;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0030;;0000;;00000;;1970;E;0000000;00000
13;46;019;UR;5111206YJ1451A;0002;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0030;;0000;;00000;;1970;E;0000000;00000
13;46;019;UR;5111206YJ1451A;0003;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0030;;0000;;00000;;2002;E;0000000;00000
13;46;019;UR;5111203YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0024;;0000;;00000;;1970;E;0000000;00648
13;46;019;UR;5111203YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00050;CL;RESALANY;0024;;0000;;00000;;1999;E;0000000;00648
13;46;019;UR;5616802YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00027;CL;GENERAL ALBERT;0020;;0000;;00000;;2006;E;0000010;00600
13;46;019;UR;5616802YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00027;CL;GENERAL ALBERT;0020;;0000;;00000;;2006;E;0000069;00600
13;46;019;UR;5012901YJ1451S;0001;46;VALENCIA;019;019;L'ALCUDIA;;00033;CL;MESTRE SERRANO;0013;;0000;;00000;;1959;E;0000128;00720
13;46;019;UR;5012901YJ1451S;0002;46;VALENCIA;019;019;L'ALCUDIA;;00033;CL;MESTRE SERRANO;0013;;0000;;00000;;1959;E;0000113;00720
13;46;019;UR;5012901YJ1451S;0003;46;VALENCIA;019;019;L'ALCUDIA;;00033;CL;MESTRE SERRANO;0013;;0000;;00000;;2005;E;0000000;00735
13;46;019;UR;5215904YJ1451N;0001;46;VALENCIA;019;019;L'ALCUDIA;;00046;CL;POETA L MILLO;0003;;0000;;00000;;1990;E;0000000;00000
13;46;019;UR;5215904YJ1451N;0002;46;VALENCIA;019;019;L'ALCUDIA;;00046;CL;POETA L MILLO;0003;;0000;;00000;;1990;E;0000000;00000
