tipo;prov;mun;refcat;orden;cargo;uc;bloque;escalera;planta;puerta;destino;tipo_refor;anyo_refor;anyo_ant;local_interior;sup_total;sup_porche_terraza;sup_otras_plantas;tipologia;modo_reparto
14;46;019;46019A00300064;0006;0000;0002;;1;00;06;BIG;;0000;1965;N;0000025;0000000;0000000;02138;
14;46;019;46019A02700042;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000418;0000000;0000000;02138;
14;46;019;46019A02700042;0002;0000;0001;;1;01;01;BIG;;0000;1970;N;0000418;0000000;0000000;02138;
14;46;019;46019A02700042;0003;0000;0001;;1;02;01;BIG;;0000;1970;N;0000052;0000000;0000000;02138;
14;46;019;46019A01900010;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000025;0000000;0000000;02138;
14;46;019;46019A00300013;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000011;0000000;0000000;02138;
14;46;019;46019A00300013;0002;0000;0001;;1;00;02;BCR;;0000;1970;N;0000004;0000000;0000000;02138;
14;46;019;46019A01800371;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000018;0000000;0000000;02138;
14;46;019;46019A01800371;0003;0000;0001;;1;00;03;ZBE;;0000;1970;N;0000025;0000000;0000000;10328;
14;46;019;46019A01800371;0002;0000;0002;;1;00;02;BIG;;0000;1970;N;0000035;0000000;0000000;02138;
14;46;019;46019A00200165;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000039;0000000;0000000;02138;
14;46;019;46019A00200165;0002;0000;0001;;1;00;01;ZBE;;0000;1970;N;0000011;0000000;0000000;10328;
14;46;019;46019A00200117;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000027;0000000;0000000;02138;
14;46;019;46019A01200216;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000070;0000000;0000000;02138;
14;46;019;46019A01200216;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000049;0000000;0000000;02138;
14;46;019;46019A01200216;0003;0000;0001;;1;00;03;BIG;;0000;1970;N;0000089;0000000;0000000;02138;
14;46;019;46019A01200216;0004;0000;0001;;1;00;04;BIG;;0000;1970;N;0000006;0000000;0000000;02138;
14;46;019;46019A02600458;0001;0000;0001;;1;00;02;BIG;;0000;1970;N;0000066;0000000;0000000;02138;
14;46;019;46019A02300042;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000041;0000000;0000000;02138;
14;46;019;46019A02300042;0002;0000;0001;;1;00;02;BIG;;0000;1970;N;0000014;0000000;0000000;02138;
14;46;019;46019A02300042;0003;0000;0001;;1;00;03;ZBE;;0000;1970;N;0000010;0000000;0000000;10328;
14;46;019;46019A00100030;0001;0000;0001;;1;00;01;ZBE;;0000;1970;N;0000029;0000000;0000000;10328;
14;46;019;46019A01200051;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000022;0000000;0000000;02138;
14;46;019;46019A00500019;0001;0000;0001;;1;00;01;BIG;;0000;1970;N;0000210;0000000;0000000;02138;
14;46;019;46019A00300190;0001;0000;0001;;1;00;01;BIG;;0000;2000;N;0000022;0000000;0000000;02138;
14;46;019;46019A00300190;0002;0000;0001;;1;00;02;ZBE;;0000;2000;N;0000086;0000000;0000000;10328;
14;46;019;46019A01900104;0001;0000;0001;;1;00;01;BIG;;0000;2010;N;0000059;0000000;0000000;02138;
